candidate,rows,nan,delta_pa,delta_fl,delta_mt,delta_all,pa_median,fl_median,mt_median,pa_std,fl_std,mt_std
block17_qdc_cxs5_static_roll5_mean,309,0,0.2178536515423721,0.2860922314390667,0.17742197901412995,0.2271226206651896,17.392711288133253,76.1372253488652,20.295538930934644,1.6357208427917465,7.575485757194859,1.1193170246579025
block17_qdc_cxs5_static_roll5_median,309,0,0.1697330167695685,0.20926413653980538,0.1070546138535544,0.1620172557209761,16.783151381294555,75.47940218342785,20.25787248655083,1.9458838327769448,8.339868789756776,1.2207209126076233
block17_qdc_cxs5_static_group5_mean,309,0,0.1873650114373842,0.23124792990473433,0.15006261697792228,0.18955851944001365,17.33951906292229,75.48690386295345,20.20597680792336,1.7818554373937296,7.917336465688905,1.2252765642070476
block17_qdc_cxs5_static_group5_median,309,0,0.1693671396653551,0.2133551646524503,0.13703479276592248,0.17325236569457594,16.783151381294555,75.70687498571671,20.334015090067386,1.9867139604517947,8.451010862668973,1.1925430566654163
block15_qdc_cxs8_hidden_roll5_mean,309,0,0.21180216122175072,0.28125616900961625,0.16921370218472195,0.2207573441386963,17.40958041901844,75.98911831917292,20.21513595278178,1.5902841527141984,7.694216118825725,1.289249685772669
block15_qdc_cxs8_hidden_roll5_median,309,0,0.16501821074819162,0.20506083894736815,0.0992678968566265,0.15644898218406209,16.816952731814148,75.3605965522566,20.273954022988505,1.891831504088697,8.417896855922356,1.4355677383248688
block15_qdc_cxs8_hidden_group5_mean,309,0,0.18216042778634584,0.22834622970441198,0.12849163264770663,0.1796660967128215,17.35786575561889,75.37154270389112,20.212114942528736,1.732359453021682,8.011962013655545,1.4210699589292686
block15_qdc_cxs8_hidden_group5_median,309,0,0.1646624968968731,0.21119441179483875,0.11769151432241157,0.1645161410047078,16.816952731814148,75.59773042961913,20.273954022988505,1.9315274615503566,8.510255082945855,1.3997244326508531
block14_qdc_roll5_mean,309,0,0.3025745160310723,0.373286192207223,0.17218633942614203,0.2826823492214791,17.15654345574063,76.79857191818044,19.75474548440066,2.271834503877426,6.601320095625503,1.1788353934375801
block14_qdc_roll5_median,309,0,0.23574030106884514,0.2666426036360698,0.1077199403635228,0.20336761502281256,16.309932474020215,76.59148870428596,19.576091954022992,2.7026164344124237,7.819311338385222,1.313166913537532
block14_qdc_group5_mean,309,0,0.2602291825519225,0.2889850934183233,0.13691197546982414,0.22870875048002334,17.082665365169845,75.74356368254895,19.666463772162505,2.474799218602403,7.37405964466404,1.2942947871291388
block14_qdc_group5_median,309,0,0.23523213842410437,0.2652942256482779,0.12639584260253903,0.2089740688916404,16.309932474020215,76.73791587674307,19.733727422003287,2.759324945071938,7.975884194471887,1.2767914180419064
