target,backbone,height,width,batch,accum,epochs,samples,batches,train_sec,sec_per_pair_epoch,avg_loss,avg_dice,cuda_devices,start_mem_bytes,peak_mem_bytes,projected_full_30ep_sec,projected_full_30ep_hours
fascicle,efficientnet-b7,512,768,2,8,1,80,40,32.28596097100001,0.4035745121375001,0.8882840350270271,0.004112249796162359,2,278384128,7157660672,33282.79001597963,9.245219448883232
aponeurosis,efficientnet-b7,512,768,2,8,1,80,40,27.019421394999995,0.3377427674374999,0.817120124399662,0.051207201834768054,2,7157660672,7162971136,10618.632608234997,2.9496201689541657
