target,backbone,height,width,batch,accum,epochs,samples,batches,train_sec,sec_per_pair_epoch,avg_loss,avg_dice,cuda_devices,start_mem_bytes,peak_mem_bytes,projected_full_30ep_sec,projected_full_30ep_hours
fascicle,efficientnet-b3,512,768,2,8,1,80,40,24.86400930100001,0.31080011626250015,0.8250537127256393,0.004185563151258976,2,55040000,2598495744,25631.685588168388,7.1199126633801075
aponeurosis,efficientnet-b3,512,768,2,8,1,80,40,8.74133464199997,0.10926668302499962,1.0726463437080382,0.03260744232684374,2,2598495744,2595890688,3435.344514305988,0.9542623650849966
